Account,Coin,Execution Price,Size USD,Timestamp IST,Direction,Closed PnL,leverage,leverage_bucket,sentiment_class,sentiment_score
0x083384f897ee0f19899168e3b1bec365f52a9012,ETH,4041.0,814524.17,06-12-2024 23:15,Close Short,-117990.1041,2,Low Leverage (1x-3x),Greed,72.0
0x8170715b3b381dffb7062c0298972d4727a0a63b,TRUMP,13.4,214400.0,23-04-2025 21:50,Close Short,-83056.32,2,Low Leverage (1x-3x),Greed,72.0
0x8170715b3b381dffb7062c0298972d4727a0a63b,TRUMP,12.867,115769.55,23-04-2025 21:49,Close Short,-41910.06915,5,Medium Leverage (4x-10x),Greed,72.0
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,SOL,133.6,237538.13,18-04-2025 20:03,Close Short,-35681.74723,1,Low Leverage (1x-3x),Fear,33.0
0x8170715b3b381dffb7062c0298972d4727a0a63b,TRUMP,12.8,95737.6,23-04-2025 21:49,Close Short,-34338.53409,1,Low Leverage (1x-3x),Greed,72.0
0x39cef799f8b69da1995852eea189df24eb5cae3c,@107,13.6,80252.78,10-03-2025 23:27,Sell,-31036.69194,2,Low Leverage (1x-3x),Extreme Fear,20.0
0x513b8629fe877bb581bf244e326a047b249c4ff1,BTC,81403.0,373314.16,09-04-2025 23:02,Close Short,-29370.1198,2,Low Leverage (1x-3x),Extreme Fear,18.0
0x271b280974205ca63b716753467d5a371de622ab,BTC,93095.0,999998.56,23-04-2025 03:19,Close Short,-25818.75012,2,Low Leverage (1x-3x),Greed,72.0
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,BERA,10.75,107500.0,06-02-2025 20:34,Close Long,-24500.0,1,Low Leverage (1x-3x),Neutral,49.0
0x8170715b3b381dffb7062c0298972d4727a0a63b,TRUMP,13.712,60000.97,23-04-2025 21:50,Close Short,-24080.11492,2,Low Leverage (1x-3x),Greed,72.0
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,@107,26.395,152508.2,23-12-2024 11:43,Sell,-22634.46345,2,Low Leverage (1x-3x),Greed,70.0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,ETH,2970.0,178200.0,14-04-2024 01:37,Close Long,-21524.4,1,Low Leverage (1x-3x),Greed,72.0
0x513b8629fe877bb581bf244e326a047b249c4ff1,HYPE,10.497,97220.38,07-04-2025 00:37,Close Long,-21333.46888,1,Low Leverage (1x-3x),Extreme Fear,23.0
0x083384f897ee0f19899168e3b1bec365f52a9012,ETH,2535.0,396950.07,03-02-2025 08:48,Close Long,-19841.24014,2,Low Leverage (1x-3x),Fear,44.0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,BTC,91627.0,258690.51,10-01-2025 02:04,Close Long,-18993.46842,1,Low Leverage (1x-3x),Neutral,50.0
0x083384f897ee0f19899168e3b1bec365f52a9012,ETH,4041.0,130127.47,06-12-2024 23:15,Close Short,-18849.96767,3,Low Leverage (1x-3x),Greed,72.0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,ETH,2657.6,111779.98,04-08-2024 23:14,Close Long,-18360.67007,1,Low Leverage (1x-3x),Fear,34.0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,ETH,2660.6,111378.3,04-08-2024 23:14,Close Long,-18148.47621,1,Low Leverage (1x-3x),Fear,34.0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,ETH,2654.5,108753.01,04-08-2024 23:14,Close Long,-18011.33336,1,Low Leverage (1x-3x),Fear,34.0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,ETH,2663.6,110975.43,04-08-2024 23:14,Close Long,-17937.47276,3,Low Leverage (1x-3x),Fear,34.0
