Account,total_pnl,avg_pnl,win_rate,avg_leverage,avg_trade_size,trade_count,profit_factor,long_ratio,segment_id,trader_segment
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2143382.597689,341.3573176762223,0.7910495301799649,9.693581780538302,4492.344177416786,6279,36.095615743551,0.3683707596751075,3,High-Leverage Speculators
0x083384f897ee0f19899168e3b1bec365f52a9012,1600229.819979,923.9202193874132,0.7927251732101617,7.359122401847575,17435.058810623555,1732,4.708739012601688,0.17032332563510394,1,Institutional Whales
0xbaaaf6571ab7d571043ff1e313a9609a10637864,940163.80622,94.04459400020006,0.9911973592077624,10.385715714714417,3480.638275482645,9997,27208.369846921258,0.9997999399819946,2,Systematic Scalpers
0x513b8629fe877bb581bf244e326a047b249c4ff1,840422.555216,153.30582911638086,0.8954761036118205,7.421926304268515,38102.69430499818,5482,5.902045349745262,0.7218168551623495,1,Institutional Whales
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,836080.553077,37.07509880169393,0.7630703738193428,11.030552968826216,1680.803564808656,22551,3.8624766240982,0.28748170812824264,3,High-Leverage Speculators
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,677747.050643,303.5141292624273,0.948499776085983,8.9346171070309,9011.692463054187,2233,52.80460926288537,0.903269144648455,0,Conservative / Tactical Retail
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,429355.565915,582.5720025983718,0.746268656716418,9.46540027137042,7520.085291723202,737,7.446678113925911,0.582089552238806,3,High-Leverage Speculators
0x430f09841d65beb3f27765503d0f850b8bce7713,416541.872341,695.395446312187,1.0,10.514190317195323,2320.957696160267,599,100.0,0.9616026711185309,0,Conservative / Tactical Retail
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,403011.504159,714.5594045372341,0.776595744680851,10.9645390070922,2261.909875886525,564,10.274501955259112,0.1099290780141844,3,High-Leverage Speculators
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,379095.406711,43.775451121362586,0.9263279445727484,11.343302540415705,1497.0306478060047,8660,8.604446854939278,0.4909930715935335,0,Conservative / Tactical Retail
0x4f93fead39b70a1824f981a54d4e55b278e9f760,308975.869716,104.77309925940996,0.9267548321464903,5.788741946422516,21982.65239064089,2949,2.432098602345393,0.7375381485249237,1,Institutional Whales
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,220519.061853,187.35689197366185,0.7349192863211554,8.918436703483433,8702.076958368734,1177,1.6521954150293017,0.37043330501274424,3,High-Leverage Speculators
0x420ab45e0bd8863569a5efbb9c05d91f40624641,199505.592732,2216.728808133333,1.0,7.777777777777778,5379.187777777778,90,100.0,0.14444444444444443,0,Conservative / Tactical Retail
0x2c229d22b100a7beb69122eed721cee9b24011dd,168658.004994,81.87281795825243,0.8174757281553398,10.03495145631068,2508.635145631068,2060,14.959188362980711,0.9995145631067961,0,Conservative / Tactical Retail
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,132464.814554,19.560663696692263,0.8620791494388659,12.545038393384525,507.39010336680445,6772,4.410181133451602,0.4548139397519197,0,Conservative / Tactical Retail
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,126578.942134,141.90464364798206,0.976457399103139,9.22645739910314,3617.845616591928,892,191.40172481457287,0.48878923766816146,0,Conservative / Tactical Retail
0x6d6a4b953f202f8df5bed40692e7fd865318264a,108731.216772,255.237598056338,0.988262910798122,12.098591549295774,802.4808920187793,426,1162.6261555583023,0.014084507042253521,0,Conservative / Tactical Retail
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,106302.875256,19.11578407768387,0.970329077504046,10.674159323862614,1859.2180812803451,5561,11.471318148407192,0.8403164898399569,0,Conservative / Tactical Retail
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,103343.716161,28.212862724815725,0.822003822003822,12.551187551187551,586.8135844935846,3663,3.5103038328556604,0.17990717990717991,3,High-Leverage Speculators
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,72846.484272,285.67248734117646,0.9372549019607844,12.709803921568628,1207.4349411764704,255,5.095726132351362,0.023529411764705882,0,Conservative / Tactical Retail
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,67845.619531,294.9809544826087,1.0,11.630434782608695,2851.7160869565214,230,100.0,0.7478260869565218,0,Conservative / Tactical Retail
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,65513.657906,91.7558233977591,0.8837535014005602,8.645658263305322,8311.295182072829,714,12.641428628626455,0.21288515406162464,0,Conservative / Tactical Retail
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,53496.247243,338.5838433101265,1.0,9.5126582278481,3175.453734177215,158,100.0,0.5,0,Conservative / Tactical Retail
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,47885.320514,11.494316013922226,0.7736437830052808,11.576812289966394,1454.1281349015842,4166,2.110680680780769,0.21027364378300528,3,High-Leverage Speculators
0x8477e447846c758f5a675856001ea72298fd9cb5,43917.008976,6.69568668638512,0.5990242415002287,11.972861716725111,936.3677953956396,6559,1.6330180218206147,0.0841591706052752,3,High-Leverage Speculators
0xb899e522b5715391ae1d4f137653e7906c5e2115,22488.500821,8.515146088981448,0.8034835289663006,7.016281711472927,20609.031442635365,2641,1.2414583601225258,0.625141991669822,1,Institutional Whales
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,21758.831753,94.6036163173913,0.7478260869565218,9.778260869565218,9860.942304347824,230,6.63440900816173,0.7391304347826086,3,High-Leverage Speculators
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,14900.443047,19.973784245308316,0.9450402144772118,10.140750670241289,3914.16827077748,746,7.440123791525199,0.29088471849865954,0,Conservative / Tactical Retail
0x39cef799f8b69da1995852eea189df24eb5cae3c,14456.919335999995,8.181618186757214,0.66553480475382,10.217317487266554,4857.970447085455,1767,1.0650644957231346,0.2144878324844369,3,High-Leverage Speculators
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-31203.599986,-54.74315787017544,0.6508771929824562,10.917543859649124,1436.739105263158,570,0.6207601580161629,0.03859649122807018,3,High-Leverage Speculators
0x271b280974205ca63b716753467d5a371de622ab,-70436.191318,-43.83085956316117,0.7156191661481021,8.39639079029247,10563.420199128812,1607,0.471901609334003,0.06533914125700062,3,High-Leverage Speculators
0x8170715b3b381dffb7062c0298972d4727a0a63b,-167621.124781,-71.60236000897052,0.7522426313541222,11.033746262281076,2294.7622768047845,2341,0.657741578049113,0.17343015805211448,3,High-Leverage Speculators
